Row ID: 927, Summary Time: 28.3298 seconds
Row ID: 928, Summary Time: 16.2165 seconds
Row ID: 929, Summary Time: 17.0445 seconds
Row ID: 930, Summary Time: 19.7224 seconds
Row ID: 931, Summary Time: 10.9578 seconds
Row ID: 932, Summary Time: 4.6577 seconds
Row ID: 933, Summary Time: 11.2738 seconds
Row ID: 934, Summary Time: 4.2582 seconds
Row ID: 935, Summary Time: 7.6430 seconds
Row ID: 936, Summary Time: 9.5081 seconds
Row ID: 937, Summary Time: 10.5724 seconds
Row ID: 938, Summary Time: 10.2945 seconds
Row ID: 939, Summary Time: 7.6276 seconds
Row ID: 940, Summary Time: 11.6273 seconds
Row ID: 941, Summary Time: 10.0862 seconds
Row ID: 942, Summary Time: 9.0838 seconds
Row ID: 943, Summary Time: 7.7605 seconds
Row ID: 944, Summary Time: 11.5798 seconds
Row ID: 945, Summary Time: 10.7991 seconds
Row ID: 946, Summary Time: 8.4994 seconds
Row ID: 947, Summary Time: 10.7168 seconds
Row ID: 948, Summary Time: 11.5149 seconds
Row ID: 949, Summary Time: 10.5163 seconds
Row ID: 950, Summary Time: 11.0472 seconds
Row ID: 951, Summary Time: 8.8106 seconds
Row ID: 952, Summary Time: 3.9865 seconds
Row ID: 953, Summary Time: 10.4742 seconds
Row ID: 954, Summary Time: 7.7805 seconds
Row ID: 955, Summary Time: 10.7884 seconds
Row ID: 956, Summary Time: 10.4484 seconds
Row ID: 957, Summary Time: 7.7263 seconds
Row ID: 958, Summary Time: 10.6934 seconds
Row ID: 959, Summary Time: 7.0975 seconds
Row ID: 960, Summary Time: 9.3587 seconds
Row ID: 961, Summary Time: 11.0385 seconds
Row ID: 962, Summary Time: 7.6376 seconds
Row ID: 963, Summary Time: 3.7683 seconds
Row ID: 964, Summary Time: 10.9892 seconds
Row ID: 965, Summary Time: 8.0382 seconds
Row ID: 966, Summary Time: 10.7479 seconds
Row ID: 967, Summary Time: 11.3925 seconds
Row ID: 968, Summary Time: 7.2964 seconds
Row ID: 969, Summary Time: 7.5573 seconds
Row ID: 970, Summary Time: 9.0137 seconds
Row ID: 971, Summary Time: 7.9327 seconds
Row ID: 972, Summary Time: 8.1073 seconds
